County,State,County-State,census_division,population_total,female_pct,median_age,under18_pct,over65_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,otherrace_pct,hispanic_pct,poverty_pct,area_sqmi,pop_sqmi,nonenglish,customer,too_small,region,vlarge,large,vsmall,vblack,vhispanic,vnonenglish,dense,sparse,poor,group,RANDOM,group_rank
Athens County, Ohio,"Athens County, Ohio",3,65917,50.2,29.6,14.7,12.6,93.7,3.8,1,3.9,0.1,0.4,1.9,30.2,503.644,131,5.3,0,0,midwest,0,0,1,0,0,0,0,1,1,vsmall,0.245,297
Atkinson County, Georgia,"Atkinson County, Georgia",5,8239,49.3,36.4,27,13.6,75.3,17.6,1.1,0,0,6.2,24.9,30.3,342.718,24,21.8,0,1,,0,0,1,0,0,0,0,1,1,NA,0.679,652
Atlantic County, New Jersey,"Atlantic County, New Jersey",2,266105,51.6,41.7,21.5,17.5,68.3,16.8,0.9,9,0.3,8.5,18.8,13.3,555.514,479,27,0,0,northeast,0,0,0,0,0,0,0,0,1,poor,0.283,51
Atoka County, Oklahoma,"Atoka County, Oklahoma",7,13823,47.3,40.2,22.4,18.7,83.4,5.7,21,1.3,0.1,0.9,3.5,20.6,975.446,14,3.4,0,1,,0,0,1,0,0,0,0,1,1,NA,0.228,1630
Attala County, Mississippi,"Attala County, Mississippi",6,18437,52.7,39.8,25.3,19,55.3,43.5,1.1,0.3,0,1.9,2,26.7,734.957,25,2.3,0,1,,0,0,1,1,0,0,0,1,1,NA,0.894,238
Audrain County, Missouri,"Audrain County, Missouri",4,25644,53.9,39.7,23.1,17.3,93.1,8.1,0.9,1,0.1,1.4,3.1,15.1,692.25,37,4.3,0,1,,0,0,1,0,0,0,0,1,1,NA,0.473,1109
Audubon County, Iowa,"Audubon County, Iowa",4,5571,50.3,48.1,20.6,24.3,99.5,1.2,0.8,1,0,0,0.6,11.7,442.961,13,1.4,0,1,,0,0,1,0,0,0,0,1,0,NA,0.211,1667
Auglaize County, Ohio,"Auglaize County, Ohio",3,45729,50.4,41.1,24.2,17.9,97.8,1.2,0.5,0.9,0,0.9,1.7,8.4,401.388,114,1.9,0,1,,0,0,1,0,0,0,0,1,0,NA,0.37,1333
Augusta County, Virginia,"Augusta County, Virginia",5,75079,49,45.1,19.1,20.5,94.2,5.3,0.7,1,0.1,0.5,2.8,8.7,967.074,78,3.4,0,0,south,0,0,1,0,0,0,0,1,0,vsmall,0.096,357
Aurora County, South Dakota,"Aurora County, South Dakota",4,2763,47.1,37.8,26.7,18.9,93.5,2.3,3.2,0,0,2.4,7.3,5.4,708.46,4,7.7,0,1,,0,0,1,0,0,0,0,1,0,NA,0.583,844
Austin County, Texas,"Austin County, Texas",7,29764,50.7,40.7,24,18.7,79.8,10.3,0.7,1.2,0.1,10.7,26.8,12.1,646.496,46,20.7,0,1,,0,0,1,0,0,0,0,1,1,NA,0.049,2042
Autauga County, Alabama,"Autauga County, Alabama",6,55380,51.4,38.2,23.8,15,78.8,20,0.8,1.7,0.2,0.7,2.8,15.2,594.456,93,4.3,0,0,south,0,0,1,0,0,0,0,1,1,vsmall,0.147,339
Avery County, North Carolina,"Avery County, North Carolina",5,17506,45.1,45.2,14.7,21.7,92.8,4.5,1.5,0.7,0.1,1.7,5.1,15.1,247.338,71,6.3,0,1,,0,0,1,0,0,0,0,1,1,NA,0.717,592
Avoyelles Parish, Louisiana,"Avoyelles Parish, Louisiana",7,40669,49.6,38.2,23.6,16.7,68.5,30.9,4,0.8,0.2,0.4,1.9,24.4,831.942,49,10.8,0,1,,0,0,1,1,0,0,0,1,1,NA,0.026,2090
