order,seasonal_order,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_AIC,std_AIC,mean_BIC,std_BIC,num_successful_trials
"(1, 1, 0)","(2, 0, 0)",119.7947940055383,0.0,82.91220694383846,2.842170943040401e-14,21533.75237819917,7.275957614183426e-12,21556.92177389563,0.0,30
"(1, 1, 0)","(2, 0, 1)",116.37550144778983,1.4210854715202004e-14,79.31676743220956,1.4210854715202004e-14,21526.5055338886,3.637978807091713e-12,21555.46727850917,0.0,30
"(1, 1, 0)","(2, 0, 2)",115.99408168147416,1.4210854715202004e-14,78.89730883665288,0.0,21522.888551385262,0.0,21557.64264492994,0.0,30
"(1, 1, 0)","(2, 1, 0)",119.57687689877015,1.4210854715202004e-14,82.6930076822749,2.842170943040401e-14,22174.345442500122,7.275957614183426e-12,22197.494970606065,3.637978807091713e-12,30
"(1, 1, 0)","(2, 1, 1)",123.4979012808403,0.0,88.24863548595393,2.842170943040401e-14,21459.55879250835,7.275957614183426e-12,21488.495702640772,7.275957614183426e-12,30
"(1, 1, 0)","(2, 1, 2)",121.97315639014641,0.0,86.11975606642379,4.263256414560601e-14,21451.012283176606,7.275957614183426e-12,21485.736575335504,3.637978807091713e-12,30
"(1, 1, 0)","(2, 2, 0)",11985.890985733833,0.0,9051.27242705828,0.0,23409.862255126594,3.637978807091713e-12,23432.99181646896,1.0913936421275139e-11,30
"(1, 1, 0)","(2, 2, 1)",121.64279981140666,2.842170943040401e-14,85.72644581419429,4.263256414560601e-14,22140.569741504576,7.275957614183426e-12,22169.4816931825,3.637978807091713e-12,30
"(1, 1, 0)","(2, 2, 2)",186.47504049816388,5.684341886080802e-14,158.5012375698082,2.842170943040401e-14,21500.500174747085,0.0,21535.194516760614,3.637978807091713e-12,30
"(1, 1, 1)","(0, 0, 0)",119.7946500054765,2.842170943040401e-14,82.91176470588228,2.842170943040401e-14,21719.101201566707,1.0913936421275139e-11,21736.506602772417,7.275957614183426e-12,30
"(1, 1, 1)","(0, 0, 1)",119.79496813152963,4.263256414560601e-14,82.91222444687047,2.842170943040401e-14,21625.153732519688,7.275957614183426e-12,21648.34125389081,7.275957614183426e-12,30
"(1, 1, 1)","(0, 0, 2)",119.70323747862527,1.4210854715202004e-14,82.81678407504802,1.4210854715202004e-14,21526.092961189806,0.0,21555.052640974503,7.275957614183426e-12,30
"(1, 1, 1)","(0, 1, 0)",126.7156836448492,4.263256414560601e-14,92.61888352153453,2.842170943040401e-14,23304.025826837402,0.0,23321.41646786574,1.0913936421275139e-11,30
"(1, 1, 1)","(0, 1, 1)",123.21782953940412,2.842170943040401e-14,87.85476066116544,2.842170943040401e-14,21547.077280458983,3.637978807091713e-12,21570.24502428672,1.0913936421275139e-11,30
"(1, 1, 1)","(0, 1, 2)",123.29190128451836,4.263256414560601e-14,87.95941072350563,2.842170943040401e-14,21453.0663255861,1.0913936421275139e-11,21482.001160599182,3.637978807091713e-12,30
